Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
EPAM Systems,6954,United States,https://www.epam.com/,S&P 500,,North America,Mature,Unknown,"EPAM Systems, Inc. is an American company that specializes in software engineering services, digital platform engineering, and digital product design, operating out of Newtown, Pennsylvania. EPAM is a founding member of the MACH Alliance.",wikipedia,https://en.wikipedia.org/wiki/EPAM_Systems,2024-06-04,10,-25.0,10.4,0,51,1,2,0,96,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,33120,Newtown,Pennsylvania,https://parat.eto.tech/company/6954-epam-systems
DXC Technology,2296,United States,https://dxc.com/,,,North America,Mature,Software & IT Services,"DXC Technology is an IT and consulting services company that offers insurance software, security, and application development services.",crunchbase,https://www.crunchbase.com/organization/dxc-technology,2024-05-16,18,-25.0,15.1,0,97,5,1,0,119,7,-100.0,7.1,1,98,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,972,30554,Ashburn,Virginia,https://parat.eto.tech/company/2296-dxc-technology
Intel,127,United States,http://www.intel.com/,"S&P 500, Global Big Tech",Habana Labs,North America,Mature,Technology Equipment,"Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",crunchbase,https://www.crunchbase.com/organization/intel,2024-05-16,2621,13.47261029630492,16.4,380,109751,914,173,311,15960,2069,1.024341909794338,7.1,1069,29016,4,32,67,1,1,8,12,10,33,42,0,3,8,1191,6,144,27,547,213,164,530,248,9,80,13,149,54,0,80,1169,27290,Santa Clara,California,https://parat.eto.tech/company/127-intel
Wells Fargo,807,United States,http://www.wellsfargo.com,S&P 500,,North America,Mature,Banking & Investment Services,"Wells Fargo & Company is a diversified financial services company with $1.3 trillion assets providing banking, insurance, and investments.",crunchbase,https://www.crunchbase.com/organization/wells-fargo-bank,2024-05-16,37,42.5,7.4,0,273,1,4,0,497,163,26.02675585284281,10.9,122,1489,0,65,60,3,0,1,1,0,0,2,0,0,6,90,1,29,1,59,9,10,5,10,1,28,0,4,40,0,10,3736,26094,San Francisco,California,https://parat.eto.tech/company/807-wells-fargo
Ernst & Young,808,United Kingdom,https://www.ey.com/,,,Europe,Mature,Industrial & Commercial Services,"Ernst & Young is a provider of assurance, tax, transaction, and advisory services.",crunchbase,https://www.crunchbase.com/organization/ernst-young,2024-05-16,41,29.444444444444443,3.6,4,493,9,3,7,1146,10,66.66666666666667,27.0,5,37,0,3,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,4314,25943,London,London,https://parat.eto.tech/company/808-ernst-young
AT&T,805,United States,https://www.att.com/,S&P 500,,North America,Mature,Telecommunications Services,"AT&T is a telecommunications company that provides wireless communications, internet services, digital television, and more.",crunchbase,https://www.crunchbase.com/organization/at-t,2024-05-16,217,1.167133520074697,9.2,31,14096,25,48,21,2355,490,29.09794812233837,10.6,290,4635,0,19,92,1,0,5,2,9,4,19,0,1,12,189,1,37,0,315,34,115,41,29,3,28,3,21,50,0,17,1459,25356,Dallas,Texas,https://parat.eto.tech/company/805-at-t
Nokia,949,Finland,http://www.nokia.com,,,Europe,Mature,Technology Equipment,Nokia is a Finnish multinational communications corporation engaged in the manufacturing of mobile devices and network infrastructure.,crunchbase,https://www.crunchbase.com/organization/nokia,2024-05-16,781,12.783469048244461,9.9,56,53008,224,31,37,7884,869,25.45835285848172,5.4,221,16003,0,0,14,0,0,2,3,5,5,35,0,0,3,185,0,29,1,629,7,268,112,18,1,16,0,47,10,0,25,470,24632,Espoo,Uusimaa,https://parat.eto.tech/company/949-nokia
Citi,809,United States,https://www.citigroup.com,S&P 500,,North America,Mature,Banking & Investment Services,Citigroup is a financial services holding company that provides various financial products and services.,crunchbase,https://www.crunchbase.com/organization/citigroup,2024-05-16,54,25.555555555555557,4.8,4,359,8,1,23,1125,4,,8.3,3,48,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3158,22155,New York,New York,https://parat.eto.tech/company/809-citi
SAP,812,Germany,https://www.sap.com/,,,Europe,Mature,Software & IT Services,"SAP provides enterprise application software to various industries, including consumer, discrete manufacturing, public services.",crunchbase,https://www.crunchbase.com/organization/sap,2024-05-16,167,10.879629629629628,8.8,24,4246,32,39,7,1888,831,27.845696327463504,14.2,518,5840,1,47,212,1,0,4,1,2,7,4,0,0,8,633,1,67,0,93,3,15,60,12,6,148,21,7,156,0,13,657,21223,Walldorf,Baden-Wurttemberg,https://parat.eto.tech/company/812-sap
Bank of America,811,United States,http://www.bankofamerica.com,S&P 500,,North America,Mature,Banking & Investment Services,"Bank of America is a financial institution that offers credit cards, home loans, and auto loan services.",crunchbase,https://www.crunchbase.com/organization/bank-of-america,2024-05-16,21,27.777777777777775,6.2,0,203,9,1,1,340,1221,39.138091303449706,23.5,824,5188,0,182,189,2,1,12,4,5,5,8,0,0,23,862,4,267,0,465,9,80,58,18,13,155,11,11,109,0,68,2498,20824,Charlotte,North Carolina,https://parat.eto.tech/company/811-bank-of-america
Siemens,789,Germany,http://www.siemens.com,,"Mentor Graphics, Siemens Healthineers",Europe,Mature,Industrial Goods,"Siemens is a technology company that offers cybersecurity, digital consulting, and business services.",crunchbase,https://www.crunchbase.com/organization/siemens,2024-05-16,2274,22.311251018242775,10.3,127,51392,845,76,296,22151,2603,15.175821745848188,7.4,983,35254,3,17,160,1,0,10,113,1,201,930,0,1,1,939,62,71,11,150,68,341,1001,522,1,207,16,378,153,1,24,906,20652,Munich,Bayern,https://parat.eto.tech/company/789-siemens
Huawei,112,China,https://www.huawei.com/,Global Big Tech,,Asia,Mature,Technology Equipment,"Huawei Technologies provides infrastructure application software and devices with wireline, wireless, and IP technologies.",crunchbase,https://www.crunchbase.com/organization/huawei,2024-05-16,4106,70.62740874389375,26.4,1343,92967,1582,608,172,15548,4220,95.13584454636833,5.1,1158,83400,6,29,157,9,0,8,25,16,38,78,0,2,15,1850,8,145,12,1103,162,330,725,131,9,94,15,156,106,2,189,952,19622,Shenzhen,Guangdong,https://parat.eto.tech/company/112-huawei
Verizon,792,United States,http://www.verizon.com/,S&P 500,,North America,Mature,Telecommunications Services,Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,crunchbase,https://www.crunchbase.com/organization/verizon,2024-05-16,47,41.666666666666664,8.5,17,1051,8,3,2,554,236,-45.82704876822524,28.0,208,842,0,5,61,0,0,1,4,0,0,3,0,0,12,116,0,5,0,80,11,11,29,8,0,27,15,10,11,0,6,1369,18844,New York,New York,https://parat.eto.tech/company/792-verizon
Capital One,371,United States,http://www.capitalone.com,S&P 500,,North America,Mature,Banking & Investment Services,"Capital One is a diversified banking company that offers early and later stage venture, and debt financing investments.",crunchbase,https://www.crunchbase.com/organization/capital-one,2024-05-16,44,17.222222222222225,23.9,6,829,2,9,1,184,1232,447.5945626477541,31.6,710,3897,0,325,417,6,1,4,4,1,2,6,1,0,18,794,2,171,0,323,18,43,92,19,6,105,17,28,168,0,77,3123,16480,Mclean,Virginia,https://parat.eto.tech/company/371-capital-one
Salesforce,219,United States,https://www.salesforce.com,S&P 500,,North America,Mature,Software & IT Services,Salesforce is a cloud-based software company that provides customer relationship management software and applications.,crunchbase,https://www.crunchbase.com/organization/salesforce,2024-05-16,463,76.46825396825398,68.6,235,57163,102,220,4,675,672,34.02716371683486,18.6,424,3605,0,7,115,1,0,2,0,0,3,14,0,0,11,542,0,31,0,124,3,14,55,8,9,93,25,3,64,0,36,797,15949,San Francisco,California,https://parat.eto.tech/company/219-salesforce
Lockheed Martin,553,United States,http://www.lockheedmartin.com,S&P 500,,North America,Mature,Industrial Goods,"Lockheed Martin is a global security and aerospace company specialized in advanced technology systems, products and services.",crunchbase,https://www.crunchbase.com/organization/lockheed-martin,2024-05-16,300,14.02116402116402,9.2,6,3321,94,8,82,3264,49,-11.111111111111114,2.9,31,1674,0,1,1,0,0,1,9,0,3,4,0,1,0,8,3,2,1,5,18,1,5,23,1,2,0,18,1,0,0,575,14111,Bethesda,Maryland,https://parat.eto.tech/company/553-lockheed-martin
Qualcomm,209,United States,http://www.qualcomm.com,S&P 500,,North America,Mature,Technology Equipment,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.",crunchbase,https://www.crunchbase.com/organization/qualcomm,2024-05-16,538,29.82836495031617,14.5,123,20469,264,10,49,3711,1625,57.718207718207715,4.3,553,37825,1,8,11,0,0,2,2,5,16,16,0,0,2,482,1,56,5,809,87,223,323,95,9,21,3,157,9,3,75,422,13781,San Diego,California,https://parat.eto.tech/company/209-qualcomm
Meta,87,United States,http://www.facebook.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",crunchbase,https://www.crunchbase.com/organization/facebook,2024-05-16,2844,35.399315429869766,50.3,1402,382308,934,832,126,5657,1023,-24.526095509981833,11.8,661,8641,0,8,244,1,0,4,1,15,6,26,0,0,237,655,1,42,6,341,10,47,269,16,2,173,34,18,74,0,68,1896,13281,Menlo Park,California,https://parat.eto.tech/company/87-meta
Adobe,6,United States,http://www.adobe.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,Adobe is a software company that provides its users with digital marketing and media solutions.,crunchbase,https://www.crunchbase.com/organization/adobe-systems,2024-05-16,2157,11.030369866675967,66.5,948,112156,1241,323,40,3244,1461,37.06193903562325,38.6,1018,3781,1,6,180,0,2,4,0,11,1,4,0,0,18,855,0,25,0,174,1,36,716,6,1,116,42,3,45,0,62,939,12416,San Jose,California,https://parat.eto.tech/company/6-adobe
Fidelity National Information Services,2318,United States,https://www.fisglobal.com/,S&P 500,,North America,Mature,Financial Technology (Fintech) & Infrastructure,"FIS focuses on retail and institutional banking, payments, asset and wealth management, risk and compliance, and outsourcing solutions.",crunchbase,https://www.crunchbase.com/organization/fis,2024-05-16,0,,0.0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,11784,Jacksonville,Florida,https://parat.eto.tech/company/2318-fidelity-national-information-services
Northrop Grumman,599,United States,http://www.northropgrumman.com,S&P 500,,North America,Mature,Industrial Goods,"Northrop Grumman is a global aerospace, defense and security company.",crunchbase,https://www.crunchbase.com/organization/northrop-grumman,2024-05-16,125,3.144078144078144,5.5,6,3113,16,1,51,2263,48,81.11111111111111,4.0,32,1188,0,1,4,0,0,1,0,0,4,4,0,1,0,27,1,8,0,10,14,3,4,16,2,5,0,8,4,0,0,324,11531,Falls Church,Virginia,https://parat.eto.tech/company/599-northrop-grumman
UnitedHealth Group,818,United States,https://www.unitedhealthgroup.com/,S&P 500,,North America,Mature,Healthcare Services & Equipment,"UnitedHealth Group is a healthcare insurance company that offers health technology, health financial, and pharmacy services.",crunchbase,https://www.crunchbase.com/organization/unitedhealth-group,2024-05-16,16,150.0,4.1,1,65,1,10,1,395,291,623.3333333333334,46.2,112,630,0,29,37,2,0,2,0,0,0,107,0,0,0,171,1,12,0,19,3,22,23,3,0,65,0,4,26,0,14,2090,11057,Minnetonka,Minnesota,https://parat.eto.tech/company/818-unitedhealth-group
Nvidia,184,United States,https://www.nvidia.com/,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",crunchbase,https://www.crunchbase.com/organization/nvidia,2024-05-16,1807,40.80191581224599,45.3,473,127618,903,121,262,3988,1254,58.31039644598966,27.3,431,4598,2,5,10,0,0,4,7,32,51,35,0,0,0,609,2,49,55,232,165,90,547,162,2,18,0,85,8,0,64,638,11053,Santa Clara,California,https://parat.eto.tech/company/184-nvidia
Morgan Stanley,585,United States,http://www.morganstanley.com,S&P 500,,North America,Mature,Banking & Investment Services,"Morgan Stanley is a financial services company that offers securities, asset management, and credit services.",crunchbase,https://www.crunchbase.com/organization/morgan-stanley,2024-05-16,54,166.66666666666666,2.9,9,826,7,6,10,1869,24,-22.5,16.3,18,147,0,4,7,0,0,1,0,0,0,0,0,0,0,18,0,3,0,7,1,4,0,2,1,6,0,0,4,0,0,1632,10943,New York,New York,https://parat.eto.tech/company/585-morgan-stanley
Boeing,784,United States,https://www.boeing.com/,S&P 500,,North America,Mature,Industrial Goods,"Boeing Company manufactures and sells aircraft, rotorcraft, rockets, and satellites and provides product leasing and support services.",crunchbase,https://www.crunchbase.com/organization/the-boeing-company,2024-05-16,232,-4.678571428571428,7.7,4,6235,43,5,101,3000,417,28.62280520731225,3.9,244,10593,0,46,91,0,0,8,7,1,32,17,4,1,0,198,8,19,1,63,179,38,75,193,4,27,5,78,89,1,8,516,10711,Chicago,Illinois,https://parat.eto.tech/company/784-boeing
Comcast,396,United States,http://corporate.comcast.com,S&P 500,,North America,Mature,Telecommunications Services,Comcast is a media and technology company that connects millions of people to the moments and experiences that matter most.,crunchbase,https://www.crunchbase.com/organization/comcast,2024-05-16,66,-2.7777777777777786,17.6,25,3302,29,15,1,375,75,55.833333333333336,3.4,35,2226,0,1,9,0,0,0,0,17,0,0,0,0,2,32,0,6,0,34,3,10,13,3,0,3,0,1,4,0,8,899,10485,Philadelphia,Pennsylvania,https://parat.eto.tech/company/396-comcast
American Express,328,United States,http://www.americanexpress.com,S&P 500,,North America,Mature,Banking & Investment Services,"American Express is a global financial services company best known for its credit card, charge card, and traveler’s cheque businesses.",crunchbase,https://www.crunchbase.com/organization/americanexpress,2024-05-16,23,-19.444444444444446,24.2,6,204,1,11,0,95,62,40.09259259259259,15.5,39,401,0,19,20,0,0,0,0,0,0,0,0,0,0,37,0,7,0,19,0,2,0,1,0,7,2,0,8,0,2,2098,10163,New York,New York,https://parat.eto.tech/company/328-american-express
Mastercard,2409,United States,https://mastercard.com/,S&P 500,,North America,Mature,Software & IT Services,MasterCard provides payment processing products and solutions and related consulting services.,crunchbase,https://www.crunchbase.com/organization/mastercard,2024-05-16,17,100.0,38.6,0,36,2,0,0,44,207,67.31532356532357,6.0,81,3476,0,134,74,0,0,0,1,0,0,3,0,0,2,88,0,29,0,53,0,3,5,2,3,26,2,0,37,0,5,717,10156,Purchase,New York,https://parat.eto.tech/company/2409-mastercard
Barclays,1230,United Kingdom,https://www.barclays.co.uk/,,,Europe,Mature,Banking & Investment Services,Barclays is a global financial services company that provides various financial products and services worldwide.,crunchbase,https://www.crunchbase.com/organization/barclays-plc,2024-05-16,12,-100.0,4.7,0,113,1,0,0,256,0,,0.0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,10131,London,England,https://parat.eto.tech/company/1230-barclays
Samsung,671,South Korea,https://www.samsung.com/,,,Asia,Mature,Technology Equipment,"Samsung Electronics is an electronics company that engages in consumer electronics, IT and mobile communications, and device solutions.",crunchbase,https://www.crunchbase.com/organization/samsung-electronics,2024-05-16,3242,29.310543548563974,13.3,525,69923,1363,448,297,24461,6032,39.608602112380964,4.6,2263,130448,1,37,245,1,2,24,105,45,155,352,0,9,46,2851,63,238,183,1755,192,590,1798,308,6,193,63,332,87,4,689,623,10094,Seoul,Seoul-T'ukpyolsi,https://parat.eto.tech/company/671-samsung
General Motors,820,United States,https://www.gm.com,S&P 500,,North America,Mature,Automobiles & Auto Parts,"General Motors manufactures, markets, and distributes vehicles and vehicle parts.",crunchbase,https://www.crunchbase.com/organization/general-motors,2024-05-16,252,20.429149797570854,6.1,11,8267,31,5,133,4104,898,-1.2163638249242037,5.7,497,15692,2,89,80,3,0,5,50,2,16,9,0,0,3,240,25,8,2,180,699,77,184,540,2,26,5,317,60,1,26,706,9896,Detroit,Michigan,https://parat.eto.tech/company/820-general-motors
Fujitsu,1125,Japan,http://www.fujitsu.com,,,Asia,Mature,Software & IT Services,Fujitsu is a information & communications technology equipment and services firm providing IT & IT infrastructure and other services.,crunchbase,https://www.crunchbase.com/organization/fujitsu,2024-05-16,737,26.997419260674576,16.5,45,8939,245,84,52,4456,1807,20.1053391053391,6.1,754,29457,1,30,139,4,0,5,17,8,30,105,0,1,9,984,11,48,5,144,28,86,265,77,4,167,29,32,100,0,32,177,9891,Tokyo,Kantō,https://parat.eto.tech/company/1125-fujitsu
Ford Motor Company,456,United States,http://www.forddirect.com,S&P 500,,North America,Mature,Automobiles & Auto Parts,"Ford Motor is an automotive company that develops, manufactures, and distributes vehicles, parts, and accessories.",crunchbase,https://www.crunchbase.com/organization/ford,2024-05-16,400,24.589552885698925,9.0,20,7628,84,11,152,4450,992,14.339385526267359,3.9,562,25121,2,94,90,5,0,15,46,0,38,15,0,0,3,314,27,42,2,189,732,48,285,519,0,10,3,276,70,0,28,1130,9820,Dearborn,Michigan,https://parat.eto.tech/company/456-ford-motor-company
PayPal,195,United States,https://www.paypal.com/home,S&P 500,,North America,Mature,Industrial & Commercial Services,PayPal is a financial service company that provides online payment solutions to its users worldwide.,crunchbase,https://www.crunchbase.com/organization/paypal,2024-05-16,26,150.0,13.5,4,298,3,5,1,192,363,46.3235294117647,20.0,209,1816,0,131,84,1,0,1,1,0,0,0,0,0,12,238,1,63,0,88,1,7,14,1,3,35,5,0,24,0,5,1510,9250,San Jose,California,https://parat.eto.tech/company/195-paypal
Visa,2190,United States,https://visa.com,S&P 500,,North America,Mature,Software & IT Services,Visa is a multinational financial services company that facilitates electronic payment systems throughout the world.,crunchbase,https://www.crunchbase.com/organization/visa,2024-05-16,97,77.54385964912281,27.6,23,3163,14,7,0,351,282,30.64733081126524,16.7,130,1692,0,113,79,0,0,0,0,1,0,0,0,0,2,145,0,36,0,47,1,4,16,3,3,34,1,1,29,0,3,985,9012,San Francisco,California,https://parat.eto.tech/company/2190-visa
Honeywell International,846,United States,https://www.honeywell.com/,S&P 500,,North America,Mature,Consumer Goods Conglomerates,"Honeywell International is a technology and manufacturing company that offers energy, safety, and security solutions and technologies.",crunchbase,https://www.crunchbase.com/organization/honeywell,2024-05-16,141,30.227920227920226,6.9,9,1309,44,5,22,2030,320,16.606996726677576,2.8,182,11404,0,20,55,3,0,2,20,1,28,14,1,3,1,129,23,52,5,62,48,34,55,110,1,34,4,65,52,1,7,429,8906,Charlotte,North Carolina,https://parat.eto.tech/company/846-honeywell-international
